Title,Image,Name,"Genre(via Amazon)
* Sort by: Best Sellers","Gender
(F - Female / M- Male)",Age,Appearance(외관),Personality(개성),Ability(능력),Occupation(직업)
Othello,https://upload.wikimedia.org/wikipedia/commons/8/8f/Edwin_Booth_as_Iago.jpg,lago,Shakespare Dramas & Plays,M,28,,"• Cleverness: Manipulative, highly intellectual, quick-witted.
• Narcissism: Considers oneself smarter than others, excessive pride and self-esteem.
• Motiveless malignity: Executes evil deeds perfectly without apparent reason.
• Tragedian in real life - William Hazlitt: Practicing tragedy in reality with originality.
• Lack of morality: Indifferent to moral good and evil, sees everything crookedly, views all humans equally.
• Speech patterns: Hesitant speech, starts and stops, echoes the end of others' sentences, skillfully combines similar vocabulary to induce outbursts of accumulated emotions.
• Dual nature: Ruthless, selfish, yet empathetic, popular among friends, instills trust in others.
• Insights: Penetrates thoughts, feelings, desires emerging from human inner self, exploits doubts, hatred, and solidifies the urge to kill.
• Machinations
• Sexism
• Racism
• Cynicism",,
Richard III,https://upload.wikimedia.org/wikipedia/commons/a/a1/Richard_III_portrait.jpg,Richard III,Shakespare Dramas & Plays,M,,,"• Extravagance: Excessive spending and wastefulness.
• A difficult temper: Quick to anger, prone to outbursts.
• Ignorance: Lacks awareness of the limits of their power, believes themselves invincible, disregards advice, becomes enraged at rightful criticism.
• Irresponsible: Acts without regard for consequences or duties.
• Self-indulgent: Overly lenient towards oneself, indulges in personal desires.
• Commits wrongdoing without dirtying their own hands.",,King
Titus Andronicus,https://upload.wikimedia.org/wikipedia/commons/a/ab/Ira_Aldridge_as_Aaron_in_Titus_Andronicus.jpg,Aaron,Shakespare Dramas & Plays,F,,"• Skin color: Black skin
• Race (or ethnicity): Moor
• Hair: Woolly ","• Racism
• Mistreatment: Rape, murder, feels no remorse for those in mental distress, even finding joy in it. Delighted by others' misfortunes.
• Treacherous
• Maternal love: Overprotective of her son till the end. (Obsessive towards her son due to past miscarriage)
• Criminal: Serial killings, mutilation of corpses, child abduction, arson",,Slave
Frankenstein’s Monster,https://upload.wikimedia.org/wikipedia/commons/a/a7/Frankenstein%27s_monster_%28Boris_Karloff%29.jpg,Frankenstein,Censorship & Politics,M,,"• Facial features: Wrinkled skin / Yellow eyes / Black lips
• Hair: Black hair 
• Distinctive feature: Nails are embedded / Evidence of stitching on the forehead.","• (Life-related) Anger, frustration: Constantly blames the Creator (Doctor)
• Humanity: Compassion. Saves a drowning girl. Pursues beauty and nature. Strives to learn acts of kindness.
• Vegetarian
•Criminal: Serial killings, arson, stalking","• Power and speed surpassing that of humans
• Immunity to aging and disease
• Faster recovery than humans",Wanderer
Romance of The Three Kingdoms,https://upload.wikimedia.org/wikipedia/commons/5/57/Cao_Cao_scth.jpg,Cao Cao,Historical Fiction,M,,"• Race (or ethnicity): Chinese
• Facial features: Sharp eyes","• Charisma: Possesses decisiveness and leadership.
• Cleverness: Demonstrates high intelligence across various fields.
• Cunning tyrant: Power-hungry, exhibiting deceitful behavior.",,General → King
The Water Margin,https://upload.wikimedia.org/wikipedia/commons/2/2a/Gao_Qiu.webp,Gao Qiu,Chinese Literature,M,,,"• Corrupted officials
• Ruthlessness: Commits countless dastardly deeds to gain power.
• Cleverness: Writes well.
• Cunning
• Skilled in flattery for personal gain.
• Lack of morality: Engages in crimes (bribery) for personal advancement.
• Criminal: Murderer.",,Mandarin
Peter Pan,https://upload.wikimedia.org/wikipedia/en/5/58/Captain_James_Hook_%28Disney_animated_character%29.png,Captain Hook,Children's Fantasy & Magic Books,M,,"• Facial features: Blue eyes
• Hair: Curly hair (presumed to be a wig)
• Attire: Pirate captain hat
• Distinctive feature: Carries a hook on hand. Handsome.","• Piracy
• Immaturity
• Cleverness·Cunning: deceives enemies skillfully
",Proficient in swordsmanship,Pirate
 The Silence of The Lambs,https://upload.wikimedia.org/wikipedia/en/6/6e/Hannibal_Lecter_in_Silence_of_the_Lambs.jpg,Hannibal Lecter,Psychological Fiction,M,,• Race (or ethnicity): Lithuanian noble descent,"• Cannibalism: Kills and cooks people they dislike, giving them a sense of nesting inside their mother's womb. It's an act of seclusion from the outside world, providing comfort and a sense of internal abundance that revives them.
• Cleverness: A genius serial killer, adept at various professions and fluent in multiple languages, earning the title of genius in various fields.
• Disorder: PTSD (Posttraumatic Stress Disorder) from past trauma.
• Psychopath: Lacks empathy and feels no remorse after committing murder.
• Emphasizes manners.
• Cunning.
• Criminal: Commits serial murders.
• Listens to Bach's Symphony No. 7 after committing murder.",The Master of Poisoncraft,"• Psychiatrist  
• Gourmet
• Artist
• Scholar
• Surgeon
• Forensic
• Scientist"
Red Queen,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/c66debc7-b032-4e68-bb02-b33a2059992f/daaywr7-5c40be74-7b10-4004-a19a-a05307aebcdb.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcL2M2NmRlYmM3LWIwMzItNGU2OC1iYjAyLWIzM2EyMDU5OTkyZlwvZGFheXdyNy01YzQwYmU3NC03YjEwLTQwMDQtYTE5YS1hMDUzMDdhZWJjZGIucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.CQkY1IaiF2r01RSmXyb5zap6nb3BvFWtpuSQARk7qEw,Maven Calore,Teen & Young Adult Science Fiction & Dystopian Romance,M,17~18,"• Skin color: Pale
• Facial features: Ice-blue eyes.
• Hair: Black hair
• Distinctive feature: Slender build. Approximately 6 feet tall.","• Lonely teenager(who was constantly overshadowed by his older brother and ignored by his father.)
• Kindness
• Extroverted
• Conceals a passionate heart.
• Betrays siblings and kills father maliciously.",• Manipulate fire and flames.,
Strange Case of Dr. Jekyll and Mr. Hyde,https://upload.wikimedia.org/wikipedia/commons/4/48/Jekyll-mansfield.jpg,Edward Hyde,Horror Literature & Fiction,M,50,• Distinctive feature: Large build.,"• Dual personality
• Dark backstory: The serum (created to suppress his impulses) causes his evil side to manifest.
• Malevolence: Dr. Jekyll (his alter ego) inherently tainted by evil.
• Instinctual
• Antisocial
• Dislikes children",,Doctor
